Refactored?,Md guidelines ready?,Work Unit ID,file_path,line_number,line_content,spring component,change_status,class_changes,old groupId,old artifactId
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/search/provider/UserIndexInfoProvider.java,23,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/search/user/ProfileIndexDataGathererImpl.java,37,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/invitation/dao/impl/InvitationDAOImpl.java,24,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/labels/dao/impl/LabelDAOImpl.java,21,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/license/metering/impl/MeteringDaoImpl.java,18,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/mail/dao/impl/EmailTokenDAOImpl.java,14,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/oauth/dao/impl/JiveOAuthTokenDAOImpl.java,25,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/oauth/dao/impl/OAuthPairingDAOImpl.java,30,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/oauth2/dao/JiveOAuth2ClientDAOImpl.java,20,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,Y,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/oauth2/dao/JiveOAuth2CodeDAOImpl.java,22,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/objecttype/archive/impl/ArchivalPolicyDAO.java,14,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
